id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
915403299242650254,雙人房(獨立衞浴)Twin Ensuite,24275081,Ah Shan Hostel,,Yau Tsim Mong,22.319069196922868,114.1711730369933,Private room,325,1,53,2025-03-11,2.55,4,352,30,
915580035094149184,"Causeway CBD.2 mins to MTR,Private Twin room",24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Private room,308,1,5,2025-01-17,0.34,17,336,3,
915586820053556179,Located in Causeway Bay-Twin Room-3,24844717,Ting,,Wan Chai,22.27645306500001,114.18497209130012,Private room,308,1,9,2025-01-11,0.51,17,335,7,
915607653701715876,Located in Causeway Bay-Triple room-4,24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Private room,372,1,0,,,17,344,0,
915613268280735258,Located in Causeway Bay-Triple room-2,24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Private room,372,1,2,2024-08-25,0.10,17,344,1,
915617864516797312,Located in Causeway Bay-Triple room-3,24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Private room,372,1,7,2025-02-05,0.41,17,327,3,
915804206028795924,1 BR Flat in Central Hong Kong,7599639,Cyrille,,Central & Western,22.28509,114.14998,Entire home/apt,1200,30,6,2025-02-28,0.36,1,246,5,
916194444189976996,Bright 1 BR Flat With Sea View,44103035,Clementine,,Central & Western,22.283354298935095,114.14925464409788,Entire home/apt,,6,2,2024-09-12,0.14,1,0,1,
916343812850306838,"Single bedroom with sea view, girls only 海景女生次卧单间",97078035,Lok Tung,,Sai Kung,22.298369158939973,114.26921069106461,Private room,288,29,4,2024-12-22,0.20,1,196,2,
916422734183511047,%Huge Monthly Discounts% YMT 3 BEDR/4 BEDS/2 BATH,520160424,Rudy,,Yau Tsim Mong,22.3094,114.17223,Entire home/apt,1547,28,13,2025-03-08,0.71,2,63,10,
916443338807656535,Appartement idéalement situé,30263180,Alain,,Central & Western,22.2835826,114.1504545,Entire home/apt,697,4,39,2025-03-01,1.87,1,285,22,
916531652706306910,Tranquil oasis with terrace.,478352138,Lee,,Central & Western,22.285795878062867,114.15045049888428,Entire home/apt,2500,4,3,2023-08-29,0.14,1,99,0,
916561871649594837,Room B- Cozy Shared flat in Sai Ying Pun!,493088457,Comfy Nomad,,Central & Western,22.28845,114.14236,Private room,421,30,0,,,93,365,0,
917114311986709933,All Private | 7 min 理工大學 Polytechnic University,440134849,Diane,,Kowloon City,22.3115558,114.1863409,Entire home/apt,459,28,0,,,42,364,0,
917125983551488306,7 min from Polytechnic University 理工大學,440134849,Diane,,Kowloon City,22.3115558,114.1863409,Entire home/apt,432,28,0,,,42,364,0,
917173665029300851,Ocean View 2 Bed 2 Bath Apartment in Ap Lei Chau,3742223,Thanarat,,Southern,22.24322,114.14536,Entire home/apt,855,5,9,2025-02-05,0.44,1,36,3,
917517190206541886,"Cozy Room204,Central",162428539,Sunok,,Central & Western,22.285612859508458,114.15041115134954,Private room,556,28,0,,,13,365,0,
918087269461484178,SALE SALE   Cheap Room,97240131,Jov,,Yau Tsim Mong,22.3109155,114.1710157,Private room,150,29,0,,,290,365,0,
918501527560649088,"Seaview apartment, 5-min to main plaza",447010355,Megan,,Islands,22.29573,114.01254,Entire home/apt,889,3,9,2025-02-15,0.45,1,50,4,
918576329233069858,ArtRoom #9-Capsule Bed for Lady,276141713,ArtRoom,,Yau Tsim Mong,22.30900141283152,114.16676819363622,Shared room,206,1,51,2025-01-29,2.55,22,341,27,
918800601287011224,SALE Room is a Bargain. Try us !,213805506,Lian,,Kowloon City,22.31781,114.18061,Private room,150,29,3,2024-10-14,0.15,13,269,2,
919465456522191822,Full flat in cosy neighbourhood,32435615,Pierre-Marie,,Wan Chai,22.2790389,114.1920363,Entire home/apt,,5,5,2024-03-24,0.25,1,0,1,
919822791381481154,Discover tranquility in the cozy haven of Sai Kung,11002572,Macky,,Sai Kung,22.387168507142086,114.27041129137181,Private room,350,2,59,2025-02-15,2.84,1,339,36,
919829614404272974,"5)Room /w FAN+Curtains, NO Lock/door (4males)-CUHK",44991309,Randy,,Tai Po,22.439667974270247,114.1793278402098,Private room,177,3,6,2025-03-01,0.39,4,270,3,
919964579953016090,Bright Co Living Window Room @Cwb Lockhart Rd 388,6684297,Emma,,Wan Chai,22.2782,114.17973,Private room,225,1,6,2024-10-02,0.30,54,299,3,
919972853610414943,"Cozy Dormitory Single Bunk @Cwb, Lockhart Road 388",6684297,Emma,,Wan Chai,22.280288891439596,114.18108814702802,Private room,205,1,9,2024-10-05,0.53,54,279,2,
919978992614422020,Private High Bunk 3min CWB Station@Lockhart Rd 414,6684297,Emma,,Wan Chai,22.2796662,114.1805515,Private room,263,1,6,2025-02-05,0.32,54,279,5,
919990026395866065,Cozy Mini Single Bunk @Lockhart Road 386,6684297,Emma,,Wan Chai,22.278280799403234,114.17889122103087,Private room,,1,8,2024-12-05,0.43,54,279,1,
919992176128497779,Seaview Single Rm CWB Station @Lockhart Rd 414,6684297,Emma,,Wan Chai,22.2796274,114.1807668,Private room,293,1,7,2024-12-28,0.39,54,260,4,
919992400176423716,Seaview Double Rm 3min CWB Station@Lockhart Rd 414,6684297,Emma,,Wan Chai,22.2796662,114.1805515,Private room,329,1,4,2024-06-10,0.20,54,173,3,
920003867281733028,Bright & Cozy Simple Single @Lockhart Road 386,6684297,Emma,,Wan Chai,22.27965843656286,114.18094794969561,Private room,,1,2,2024-01-01,0.10,54,299,0,
920015674404452247,Bright Window Room CWB Station @Lockhart Rd 414,6684297,Emma,,Wan Chai,22.27855994231151,114.17984672874807,Private room,293,1,8,2025-01-24,0.40,54,279,4,
920019416660805079,"Comfort & Cozy Single Bunk @CWB, Lockhart Road 384",6684297,Emma,,Wan Chai,22.279618635424374,114.1810912452537,Private room,199,1,11,2025-01-29,0.56,54,365,7,
920024041758291905,Bright & Cozy Window Bunk@Wan Chai Road 187,6684297,Emma,,Wan Chai,22.276521565055607,114.1777522237778,Private room,239,1,5,2024-12-28,0.34,54,271,4,
920029965179657935,Cozy Dormitory Bunk Bedroom @Wan Chai Road 187,6684297,Emma,,Wan Chai,22.2767,114.17757,Private room,205,1,1,2023-10-04,0.06,54,233,0,
920030688139017548,3分鐘直達銅鑼灣站 高層陽光高床房 @駱克道 384號,6684297,Emma,,Wan Chai,22.279730455989963,114.18097868261495,Private room,213,1,8,2025-01-07,0.42,54,269,6,
920033458712544691,4RM Entire Apartment@Wan Chai MTR nearby HKCEC!,6684297,Emma,,Wan Chai,22.279396488441037,114.17444447199505,Entire home/apt,1780,1,8,2024-12-27,0.39,54,249,1,
920034593999409334,"Bright & Cozy Window Double@CWB,Lockhart Road 384",6684297,Emma,,Wan Chai,22.27976997185641,114.18088529329471,Private room,293,1,12,2025-02-06,0.75,54,279,8,
920037657984189182,"Cozy Mini Single Bunk @CWB, Lockhart Road 384",6684297,Emma,,Wan Chai,22.279781252389345,114.18112866827255,Private room,194,1,6,2024-12-16,0.32,54,263,4,
920037824908183529,"Cozy & Bright Window Bunk @CWB, Lockhart Road 157",6684297,Emma,,Wan Chai,22.278006279639694,114.17249371892194,Private room,213,1,10,2025-01-13,0.55,54,259,6,
920040864323058178,"Cozy & Bright Window Double@CWB, Lockhart Road 157",6684297,Emma,,Wan Chai,22.27934666928309,114.17415743683003,Private room,293,1,7,2024-11-22,0.36,54,259,4,
920046162834772953,MTR Bright Large Double Room @ Lockhart Road 137,6684297,Emma,,Wan Chai,22.2775,114.17252,Private room,329,1,11,2024-12-13,0.64,54,261,5,
920049011512283140,Simple Private Bunk Bedroom @1 Min to Wan Chai MTR,6684297,Emma,,Wan Chai,22.27830136523495,114.17310712833252,Private room,263,1,1,2024-10-22,0.21,54,233,1,
920051481342640895,Simple Double Bedroom @1 Min to Wan Chai MTR,6684297,Emma,,Wan Chai,22.27696,114.17285,Private room,236,1,8,2025-02-24,0.42,54,267,4,
920054225053244467,Deluxe Bright Double Room @1 Min to Wan Chai MTR,6684297,Emma,,Wan Chai,22.27691255674555,114.17160729910853,Private room,293,1,10,2024-11-11,0.52,54,271,2,
920056838407553911,Simple Private Corner Bunk @1 Min to Wan Chai MTR,6684297,Emma,,Wan Chai,22.276671823642076,114.17257304785204,Private room,182,1,0,,,54,0,0,
920064919370977466,Spacy chill place in tung chung,519142144,Su Min,,Islands,22.269435767376685,113.93265265971422,Entire home/apt,990,1,0,,,1,365,0,
920099954957227621,Shared A/C Comfort Double bed @ Lockhart Road 137,6684297,Emma,,Wan Chai,22.278675553329386,114.17213903867207,Private room,236,1,8,2024-12-23,0.46,54,268,4,
920107755195071828,Comfort and Bright Bunk Bed @Lockhart Road 137,6684297,Emma,,Wan Chai,22.279395956181425,114.17254445789946,Private room,205,1,5,2024-11-16,0.31,54,264,4,
920113310963645894,Shared AC Large Simple Single@Lockhart Road 137,6684297,Emma,,Wan Chai,22.27810242163429,114.17191354570141,Private room,,1,5,2024-04-13,0.27,54,236,1,
920117410042277026,Comfort and Bright Double Bed @Lockhart Road 137,6684297,Emma,,Wan Chai,22.27898663454108,114.17223581715851,Private room,293,1,12,2025-02-04,0.59,54,268,6,
920122206804612734,Comfort Window Single Bedroom @ Lockhart Road 137,6684297,Emma,,Wan Chai,22.27916,114.17225,Private room,266,1,6,2024-11-06,0.37,54,266,2,
920583146397685007,交通便捷 光綫明亮整潔舒適,198109516,Rachel,,Wan Chai,22.28032,114.18563,Entire home/apt,300,28,2,2025-03-04,0.14,65,364,1,
920754371499697762,"Cosy, Soho, 1 bed apartment",37597315,Sandy,,Central & Western,22.281751,114.1507283,Entire home/apt,960,3,9,2025-02-02,0.45,1,49,4,
921200368297982753,尖沙咀市中心地鐵上蓋乾淨衛生独立卫浴家庭房806，適合一家三口或閨蜜朋友旅行,326920595,Anna,,Yau Tsim Mong,22.297256647434693,114.17230971157551,Private room,,1,31,2025-02-22,1.99,9,245,26,
921303773895897709,Located in Causeway Bay-Double room-4,24844717,Ting,,Wan Chai,22.27645306500001,114.18497209130012,Private room,288,1,13,2025-02-14,1.14,17,332,13,
921309113307921450,Located in Causeway Bay-Double room-5,24844717,Ting,,Wan Chai,22.276610058500008,114.18518666800013,Private room,288,1,3,2024-11-16,0.16,17,345,2,
